fl,tl,TL - FL,w,pit,sx,d,m,y,site,,,,,,,,,,,,,,,,,
243,277,34,171,9.00228E+14,m,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
239,269,30,195,9.00228E+14,m,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
225,259,34,177,9.00228E+14,m,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
223,258,35,159,9.00228E+14,m,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
247,281,34,222,9.00228E+14,m,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
236,269,33,202,9.00228E+14,m,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
237,272,35,173,9.00228E+14,m,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,278,33,206,9.00228E+14,f,10,5,2017,cbcl,,,,,,,,,,,,,,,,,
254,292,38,254,9.00228E+14,f,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
265,307,42,336,9.00228E+14,f,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
226,253,27,161,9.00228E+14,f,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
247,284,37,259,9.00228E+14,f,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
243,276,33,211,9.00228E+14,f,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
216,246,30,174,9.00228E+14,f,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
237,263,26,209,9.00228E+14,m,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
214,239,25,138,9.00228E+14,m,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
227,257,30,161,9.00228E+14,m,11,5,2017,cbcl,,,,,,,,,,,,,,,,,
216,251,35,129,9.00228E+14,f,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
208,236,28,123,9.00228E+14,m,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
255,290,35,213,9.00228E+14,f,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
233,266,33,170,9.00228E+14,m,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
198,228,30,107,9.00228E+14,m,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
229,259,30,139,9.00228E+14,m,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
225,257,32,165,9.00228E+14,f,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
254,291,37,249,9.00228E+14,f,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,268,33,194,9.00228E+14,m,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
253,282,29,233,9.00228E+14,f,22,5,2017,cbcl,,,,,,,,,,,,,,,,,
211,241,30,123,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
233,267,34,185,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
246,279,33,213,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
262,298,36,285,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
251,282,31,219,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
241,279,38,220,9.00228E+14,f,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
204,233,29,109,9.00228E+14,m,23,5,2017,cbcl,,,,,,,,,,,,,,,,,
